Courses,Sections
CS F111,3
CS F211,1
CS F212,1
CS F213,1
CS F214,1
CS F215,1
CS F222,1
CS F241,1
CS F301,1
CS F303,1
CS F314,1
CS F315,1
CS F316,1
CS F317,1
CS F320,1
CS F342,1
CS F351,1
CS F351,1
CS F363,1
CS F364,1
CS F372,1
CS F401,1
CS F402,1
CS F407,1
CS F413,1
CS F415,1
CS F422,1
CS F424,1
CS F425,1
CS F426,1
CS F427,1
CS F428,1
CS F429,1
CS F430,1
CS F431,1
CS F432,1
CS F433,1
CS F441,1
CS F444,1
CS F446,1
CS F468,1
CS F469,1
CS G513,1
CS G519,1
CS G520,1
CS G527,1
CS G525,1
CS G526,1
CS G623,1
CS G513,1
CS G524,1
CS G523,1
CS G516,1
CS G518,1
CS G541,1
CS G551,1
CS G553,1
CS G554,1
CS G568,1
CS F612,1
